ndb_no	shrt_desc	energy_kcal	nutval
7242	OSCAR MAYER  WIENERS (BEEF FRANKS  BUN LENGTH)	0.359202	-0.273582
6057	CAMPBELL SOUP COMPANY,CAMPBELL'S RED&WHITE,CHICK BROTH,COND	0.0177384	-0.266762
4146	SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE	0.699557	-0.264842
1017	CHEESE,CREAM	0.379157	-0.264742
4017	SALAD DRSNG,1000 ISLAND,COMM,REG	0.4102	-0.264287
13344	BEEF,CURED,BRKFST STRIPS,RAW OR UNHTD	0.450111	-0.26353
5259	TURKEY,YOUNG TOM,SKN ONLY,RAW	0.407982	-0.244905
7276	HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND	0.343681	-0.23721
35001	AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)	0.391353	-0.236206
1056	CREAM,SOUR,CULTURED	0.213969	-0.235723
10123	PORK,CURED,BACON,RAW	0.507761	-0.221651
10128	PORK,CURED,BRKFST STRIPS,RAW OR UNHTD	0.430155	-0.200679
4038	OIL,WHEAT GERM	0.980044	-0.19902
4027	SALAD DRSNG,MAYO,IMITN,SOYBN	0.257206	-0.192289
7235	OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)	0.333703	-0.190723
4634	MARGARINE-LIKE,VEG OIL SPRD,20% FAT,WO/ SALT	0.194013	-0.189467
1067	CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT	0.150776	-0.182648
43599	SALAD DRSNG,MAYO DRSNG,DIET,NO CHOL	0.432373	-0.181814
7245	OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)	0.35255	-0.178728
7232	OSCAR MAYER,SMOKIE LINKS SAUSAGE	0.334812	-0.178125
4690	VEG OIL SPRD,37% FAT,UNSPEC OILS,W/ SALT,W/ ADDED VITAMIN D	0.375831	-0.165345
7234	OSCAR MAYER,SMOKIES (CHS)	0.33592	-0.162714
42230	SALAD DRSNG,COLESLAW DRSNG,RED FAT	0.364745	-0.159091
4018	SALAD DRSNG,MAYO TYPE,REG,W/SALT	0.432373	-0.156648
7279	HORMEL WRANGLER BEEF FRANKS	0.321508	-0.139837
1050	CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)	0.216186	-0.139358
12632	MACADAMIA NUTS,DRY RSTD,W/SALT	0.793792	-0.136402
5236	TURKEY,YOUNG HEN,SKN ONLY,CKD,RSTD	0.534368	-0.131452
7201	OSCAR MAYER,BOLOGNA (BEEF)	0.350333	-0.126063
6598	CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA	0.0277162	-0.123318
7241	OSCAR MAYER,WIENERS (BEEF FRANKS)	0.362528	-0.121026
16125	SOY SAU MADE FROM HYDROLYZED VEG PROT	0.0443459	-0.112532
21346	MCDONALD'S,NEWMAN'S OWN COBB DRSNG	0.217295	-0.111734
12132	MACADAMIA NUTS,DRY RSTD,WO/SALT	0.796009	-0.110818
7236	OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)	0.349224	-0.1073
1070	DESSERT TOPPING,POWDERED	0.63969	-0.0965742
42178	MAYONNAISE,MADE WITH TOFU	0.356984	-0.0941108
10175	PORK,FRSH,VAR MEATS&BY-PRODUCTS,TAIL,CKD,SIMMRD	0.439024	-0.0877837
7225	OSCAR MAYER,PORK SAUSAGE LINKS (CKD)	0.380266	-0.082305
10098	PORK,FRSH,VAR MEATS&BY-PRODUCTS,CHITTERLINGS,RAW	0.201774	-0.0760206
7233	OSCAR MAYER  SMOKIES (BEEF)	0.32816	-0.0698123
5015	CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW	0.386918	-0.05965
27028	CAMPBELL SOUP COMPANY,PACE,SALSA VERDE	0.0521064	-0.0578706
21323	MCDONALD'S,SAUSAGE PATTY	0.449002	-0.0562159
12644	PECANS,OIL RSTD,W/SALT	0.792683	-0.0514743
12115	COCONUT CRM,RAW (LIQ EXPRESSED FROM GRATED MEAT)	0.365854	-0.0454468
35085	WHALE,BOWHEAD,SUBCUTANEOUS FAT (BLUBBER) (ALASKA NATIVE)	0.964523	-0.0433265
7206	OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING)	0.347007	-0.0403534
12144	PECANS,OIL RSTD,WO/SALT	0.792683	-0.0387151
12131	MACADAMIA NUTS,RAW	0.796009	-0.0360314
5139	DUCK,DOMESTICATED,MEAT&SKN,RAW	0.447894	-0.0268082
43355	MAYONNAISE,LO NA,LO CAL OR DIET	0.256098	-0.0267584
17188	VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,RAW	0.13082	-0.0247724
7945	FRANKFURTER  BF  HTD	0.361419	-0.0234587
1054	CREAM,WHIPPED,CRM TOPPING,PRESSURIZED	0.284922	-0.0229988
